,city,date,review_count
728,Rotterdam,2023-08-31,194
729,Amsterdam,2023-09-01,367
730,Groningen,2023-09-01,106
731,Rotterdam,2023-09-01,253
732,Amsterdam,2023-09-02,316
733,Groningen,2023-09-02,96
734,Rotterdam,2023-09-02,289
735,Amsterdam,2023-09-03,335
736,Groningen,2023-09-03,107
737,Rotterdam,2023-09-03,249
738,Amsterdam,2023-09-04,256
739,Groningen,2023-09-04,67
740,Rotterdam,2023-09-04,185
741,Amsterdam,2023-09-05,251
742,Groningen,2023-09-05,67
743,Rotterdam,2023-09-05,146
744,Amsterdam,2023-09-06,237
745,Groningen,2023-09-06,65
746,Rotterdam,2023-09-06,196
747,Amsterdam,2023-09-07,239
748,Groningen,2023-09-07,68
749,Rotterdam,2023-09-07,193
750,Amsterdam,2023-09-08,278
751,Groningen,2023-09-08,109
752,Rotterdam,2023-09-08,240
753,Amsterdam,2023-09-09,270
754,Groningen,2023-09-09,105
755,Rotterdam,2023-09-09,257
756,Amsterdam,2023-09-10,335
757,Groningen,2023-09-10,88
758,Rotterdam,2023-09-10,285
759,Amsterdam,2023-09-11,251
760,Groningen,2023-09-11,61
761,Rotterdam,2023-09-11,209
762,Amsterdam,2023-09-12,218
763,Groningen,2023-09-12,58
764,Rotterdam,2023-09-12,145
765,Amsterdam,2023-09-13,237
766,Groningen,2023-09-13,62
767,Rotterdam,2023-09-13,165
768,Amsterdam,2023-09-14,246
769,Groningen,2023-09-14,67
770,Rotterdam,2023-09-14,179
771,Amsterdam,2023-09-15,304
772,Groningen,2023-09-15,86
773,Rotterdam,2023-09-15,218
774,Amsterdam,2023-09-16,273
775,Groningen,2023-09-16,89
776,Rotterdam,2023-09-16,237
777,Amsterdam,2023-09-17,313
778,Groningen,2023-09-17,118
779,Rotterdam,2023-09-17,261
780,Amsterdam,2023-09-18,276
781,Groningen,2023-09-18,72
782,Rotterdam,2023-09-18,191
783,Amsterdam,2023-09-19,254
784,Groningen,2023-09-19,81
785,Rotterdam,2023-09-19,168
786,Amsterdam,2023-09-20,270
787,Groningen,2023-09-20,80
788,Rotterdam,2023-09-20,189
789,Amsterdam,2023-09-21,317
790,Groningen,2023-09-21,94
791,Rotterdam,2023-09-21,231
792,Amsterdam,2023-09-22,352
793,Groningen,2023-09-22,116
794,Rotterdam,2023-09-22,295
795,Amsterdam,2023-09-23,362
796,Groningen,2023-09-23,102
797,Rotterdam,2023-09-23,324
798,Amsterdam,2023-09-24,367
799,Groningen,2023-09-24,124
800,Rotterdam,2023-09-24,283
801,Amsterdam,2023-09-25,305
802,Groningen,2023-09-25,94
803,Rotterdam,2023-09-25,212
804,Amsterdam,2023-09-26,245
